"","Date","MXX","NAFTRACISHRS.MX","DIABLOI10.MX","ALFAA.MX","AC.MX","ASURB.MX","BIMBOA.MX","BOLSAA.MX","CEMEXCPO.MX","FEMSAUBD.MX","CHDRAUIB.MX","GFNORTEO.MX","GMEXICOB.MX","PINFRA.MX","WALMEX.MX","DJI","IXIC","AAPL","AMZN","AZO","BAC","DELL","GM","GOOGL","MSFT","TSLA","QQQ","IDU","WM","SPGSCI","GLD","DBA","DBE","GSG"
"1",2016-08-26,-1.92119959722261,-1.75983529761239,1.95440333885424,-2.31286542921934,-1.4661357933358,-3.22571057078791,-3.2813597040149,-0.779910722558852,-1.5218770593752,-4.73412346851896,-3.54203496521435,-0.283448023654842,-3.72027123007586,-5.58671506627287,-1.53564774526801,1.18445514774579,1.66987319721636,-0.209248740293821,3.62422115287933,-3.14796023703293,5.87076100518436,7.32735529254598,1.08715992691126,1.22839657785796,2.77510735264892,-0.223314927610563,1.63123587029419,-0.0442842854582848,0.478263820177194,0.018683585985757,0.517881076514359,0.434597291982075,0.662207262699499,-0.241229590123215
"2",2016-09-02,0.883305392026301,0.779768596071695,-0.878599092089893,0.559021797544679,1.14589069915925,2.34690953324523,2.86786378178763,2.15431569743465,0.772694766854842,0.570926004345051,-2.73225780569302,2.79530651985631,0.561052772782977,1.88906406789784,0.372423343702954,0.476137528422615,0.544796437342643,0.689832886165775,0.398594868123703,-1.87120143841707,1.75216142542851,-6.10021881454457,1.9485990143155,0.411400885016766,-0.668614998450867,-10.1395418087091,0.242480869526585,0.831097856103824,0.545235696225865,-4.42297129414906,0.363807299018015,-1.16830527285444,-6.12336160406156,-4.36783426568441
"3",2016-09-09,-2.78064939337773,-2.718520374972,2.73972729063967,-4.7416615653719,-1.19207272395251,-3.49599060870145,-2.47813907040699,-3.59077746150028,-5.43130412748363,-1.93476078210033,-2.51684071903047,-1.81285904719501,-3.6909639151941,-5.11067556104368,-4.05843007898015,-0.531354700096698,-0.697578968528834,-2.63827916815086,0.0849283183331773,-0.6727446910055,0.0517396714476703,16.1389760804029,-2.45448923498796,0.633612977113862,-0.870361957251964,0.00233397606603791,-0.761743940807214,-0.521908994307274,-0.191404910224657,3.92787678235429,1.84906793640371,1.90484671339775,4.95125283823223,3.78588942877593
"4",2016-09-23,4.04062004386598,3.93993343925696,-3.70942471253241,2.69243052239827,-0.172437328021391,1.9132941134854,4.5489992631466,-8.55709677535545,5.00343103097527,8.55270251111959,2.20275229312528,2.60724141776081,8.01489154691271,-1.20293693428204,2.44250267882173,1.63942648011974,2.05003464673978,-1.06654427264982,4.4015109366959,2.15286595366813,1.06867181166574,-0.0840020746543324,4.61899903514529,3.02105763265557,1.19042705981371,1.88007688921827,1.76772857761942,4.3339795880154,1.75660275820397,1.8672559086377,2.96239925289237,1.56795251674855,1.22023895872301,1.72575357324527
"5",2016-09-30,-1.11489457654143,-1.13089955657787,0.882822282026297,1.71428530735689,-0.354111000416824,0.694272424379871,-4.55648997256101,-0.322666428007345,0.261091071930442,-1.92582441464915,-1.78447520859465,-1.38689346829293,2.20019101073219,-1.81686075626656,-1.43519871592106,-1.8374144786203,-1.97247422318789,-1.79242923240781,1.74726694451994,1.00000798334641,-1.26769579998773,-2.51609579829598,-3.15470410038542,-3.39738914404323,-1.79797132431097,-3.70197994204418,-1.76508700224438,-5.6628685277371,-1.46968195766455,1.51638709955222,-3.62955623692978,-4.43157227779005,3.78524603100241,1.33091015620561
"6",2016-10-07,0.742501503729875,0.72018685501003,-0.715991684748796,-0.297419387450903,2.27960317715485,2.66296885194108,1.09567196196301,-0.226617872310075,1.62760786401019,0.419587096060692,3.11468247359312,4.55351072073018,-0.295478582136799,3.38378886869728,-2.20760123330911,-0.768314440513307,-0.767731489980761,0.48958094856133,-0.148054495623517,-1.43726896648436,2.65459383482127,0.162369143424357,1.38672996567144,-0.815192324018454,-0.0543649159092552,-4.02239810384228,-0.609973264761909,-4.26817431151961,-2.71216108197538,1.605591481016,-5.07739379205667,-0.0513043036931227,3.22304219074321,1.41434330359309
"7",2016-10-14,0.220283912733388,0.189310317336333,-0.3205125266043,2.45276975871369,0.237293100675928,0.154206525037126,0.251588292962412,2.27124305518072,2.1780937493459,2.13926429263718,-3.43250084642637,0.714899581547157,0.592720319066653,-0.460269879322672,-0.792520319629109,-2.05000381831527,-2.95478491546078,1.58440464640597,-3.43124397828156,-1.08792918781713,-2.29246134134582,-3.19939054426002,-2.93012523664301,-1.02006946017023,-2.14621410515559,-1.54869403485954,-2.60443725561974,-0.10228927812258,-2.13122380736258,-0.486586043587767,-1.81119392092798,-0.859916114651482,-0.269258845203058,-0.91111326877501
"8",2016-10-21,1.50299253060888,1.49030004311448,-1.44694017341694,-5.46748120580323,-0.388907988037401,3.08595791154676,-0.270246831651577,-1.04694712847202,6.14419479348163,-0.0436240313188452,-1.09004507708917,5.28624954180941,0.589216087445266,-0.887434632821871,0.580948027748862,-2.15852877282022,-1.38700500707823,-3.05441840207099,-2.6698486536161,-4.31546945089825,1.89739231177697,-2.19805247241129,-1.67636949077391,0.167378062269119,1.6173055619034,-0.416314290269004,-1.35477753779955,-1.7642526084968,-1.67647595837632,-2.15899889574614,-0.993553632619648,-1.71340083019564,-1.59525516370802,-2.06919934920958
"9",2016-10-28,-0.849262330064038,-0.744562571357177,0.897223936571478,-1.36892294202063,-1.3410319674107,0.53103383362838,-0.464589534171256,-0.89772540067844,-2.95333794229681,-0.785312657500381,0.287498167013256,-1.04674697264602,-3.01256746346715,-0.334583448652592,-4.42836149178838,2.13751410369631,0.744119138373733,-0.470163187334671,-3.26644048228076,0.464337768694079,2.11169448044009,5.57169530514534,-0.242804809939268,1.49320610263759,2.40966136165319,1.98926549264353,1.14353656939366,3.03689472799982,4.9539971233507,0.483509577025809,2.68389793350654,3.81168255173405,-1.38768995314762,0.439142201085829
"10",2016-11-04,-2.73373711934318,-2.66718856823036,3.23363440505409,-3.33101848737865,-3.08844271756883,-4.7604851791427,-3.40334182488348,-6.66451329617499,-3.65185349839272,-4.79040148353591,-4.27616137751622,-1.96324683775917,1.9628980213853,-4.92222295305279,0.629564063600951,-1.26988706636395,-2.53948057073471,-3.57245454638265,-2.50995840268994,-0.270683770202118,-0.54486036169098,-0.276401740106835,-0.275695406547882,-4.46748070997641,-1.70573667032414,-4.48044842610196,-2.71678528752491,-1.04584664014419,-0.71930632369932,-5.42818174062205,2.55307233682422,-0.783961315151327,-6.1971808704573,-5.45887538229267
