"","Date","return"
"1",2021-09-10,0.246300270610433
"2",2021-09-13,-0.0487093898513535
"3",2021-09-14,0.616505938137024
"4",2021-09-15,0.72525135815642
"5",2021-09-17,-1.7094461748167
"6",2021-09-20,-1.47268131310145
"7",2021-09-21,0.533568154310515
"8",2021-09-22,0.998791844772384
"9",2021-09-23,0.244993295896379
"10",2021-09-24,-0.699152037817363
"11",2021-09-27,0.959695694079166
"12",2021-09-28,-1.31290439842537
"13",2021-09-29,0.311910149384431
"14",2021-09-30,0.5873754291434
"15",2021-10-01,-0.635461338256249
"16",2021-10-04,-0.386781464121277
"17",2021-10-05,0.38069163531933
"18",2021-10-06,-0.161623027730329
"19",2021-10-07,-0.191470665050097
"20",2021-10-08,0.50903248519969
"21",2021-10-11,0.992637407240871
"22",2021-10-12,0.365528241463586
"23",2021-10-13,-0.0443957363264857
"24",2021-10-14,0.629838340918987
"25",2021-10-15,1.25435091850168
"26",2021-10-18,-0.213012896530529
"27",2021-10-19,-0.53916605907709
"28",2021-10-20,-0.199675943743571
"29",2021-10-21,-0.533270250715567
"30",2021-10-22,-0.250969215991326
"31",2021-10-25,-0.107708284886243
"32",2021-10-26,0.716626793985142
"33",2021-10-27,-0.946855882418696
"34",2021-10-28,-0.904718974678964
"35",2021-10-29,0.118956303608897
"36",2021-11-01,0.667080037990786
"37",2021-11-03,0.431849841777421
"38",2021-11-04,-0.00645329649024973
"39",2021-11-05,0.20124911798618
"40",2021-11-08,0.524857367503628
"41",2021-11-09,-0.263242398809815
"42",2021-11-10,-0.789309624668633
"43",2021-11-11,0.00505414488909395
"44",2021-11-12,-0.532236764848903
"45",2021-11-16,-0.528373179465014
"46",2021-11-17,-0.227770977692465
"47",2021-11-18,-0.418450775993229
"48",2021-11-19,-0.0406292356531779
"49",2021-11-22,-0.620331047198519
"50",2021-11-23,1.21883504145952
"51",2021-11-24,-0.526242118023212
"52",2021-11-25,-0.439587950419096
"53",2021-11-26,-2.26239878527323
"54",2021-11-29,0.611916219662589
"55",2021-11-30,-0.1961546678384
"56",2021-12-01,0.618704520834434
"57",2021-12-02,1.82344766387779
"58",2021-12-03,-0.650267592107312
"59",2021-12-06,0.0163424873113271
"60",2021-12-07,0.616059530042357
"61",2021-12-08,0.270632945993299
"62",2021-12-09,0.355347679552942
"63",2021-12-10,-0.047903765136148
"64",2021-12-13,-1.56312907049259
"65",2021-12-14,1.61776436563379
"66",2021-12-15,-0.151962327579369
"67",2021-12-16,0.429846279450885
"68",2021-12-17,1.91848521311115
"69",2021-12-20,-1.45288757910205
"70",2021-12-21,0.889844264291995
"71",2021-12-22,0.608241139940269
"72",2021-12-23,0.471871470045571
"73",2021-12-24,0.383811881675911
"74",2021-12-27,0.765564842292576
"75",2021-12-28,-0.0395840626941535
"76",2021-12-29,-0.923797009567373
"77",2021-12-30,0.804958066673578
"78",2021-12-31,0.182608813726048
"79",2022-01-03,-0.624084338587672
"80",2022-01-04,0.14301835106636
"81",2022-01-05,0.0138949885361228
"82",2022-01-06,0.0587487116135321
"83",2022-01-07,0.276311767133208
"84",2022-01-10,-0.690977874370979
"85",2022-01-11,0.427130211755689
"86",2022-01-12,1.66192649005783
"87",2022-01-13,-0.0383594764105766
"88",2022-01-14,-0.344605317751956
"89",2022-01-17,0.42397295260983
"90",2022-01-18,-1.38254535951177
"91",2022-01-19,-0.771239677894897
"92",2022-01-20,-0.597883062534343
"93",2022-01-21,-1.74625986125712
"94",2022-01-24,-1.38316046179447
"95",2022-01-25,0.41923846333578
"96",2022-01-26,-0.131856086186666
"97",2022-01-27,-1.12516256417692
"98",2022-01-28,0.387311769385157
"99",2022-01-31,1.31186194716157
"100",2022-02-01,0.876360712182844
"101",2022-02-02,0.463553595920452
"102",2022-02-03,-1.7024235038372
"103",2022-02-04,0.215232053691317
"104",2022-02-08,2.00735019875395
"105",2022-02-09,0.889683486434301
"106",2022-02-10,-0.308143254895832
"107",2022-02-11,1.19001781683679
"108",2022-02-14,-1.69480642636657
"109",2022-02-15,1.66038275534177
"110",2022-02-16,0.879246102423359
"111",2022-02-17,-1.82122565629381
"112",2022-02-18,-0.820106746334481
"113",2022-02-21,-0.491535158824163
"114",2022-02-22,1.09968338455477
"115",2022-02-23,-2.38075797710664
"116",2022-02-24,0.177211135009081
"117",2022-02-25,2.11824949850978
"118",2022-02-28,1.59504708661551
"119",2022-03-01,-0.435001723636574
"120",2022-03-02,0.247657658430356
"121",2022-03-03,0.425638364214009
"122",2022-03-04,-0.385514407321708
"123",2022-03-07,-1.91125172867661
"124",2022-03-08,1.84780510188229
"125",2022-03-09,1.16331777489318
"126",2022-03-10,-0.976976344656144
"127",2022-03-11,-0.162945473277176
"128",2022-03-14,-0.929393044326865
"129",2022-03-15,0.382527687333045
"130",2022-03-16,0.755237658893115
"131",2022-03-17,1.76784102171439
"132",2022-03-18,2.00777228145785
"133",2022-03-22,0.459435890180693
"134",2022-03-23,-1.0242068681503
"135",2022-03-24,1.21672446045764
"136",2022-03-25,-0.707872227206252
"137",2022-03-28,0.448321796783091
"138",2022-03-29,0.76222948139435
"139",2022-03-30,-0.529319051204347
"140",2022-03-31,1.28471850137046
"141",2022-04-01,0.128788015853232
"142",2022-04-04,-0.524834553177911
"143",2022-04-05,-1.36944470105114
"144",2022-04-06,-0.195625771298147
"145",2022-04-07,-0.285660591289627
"146",2022-04-08,-1.07912568349278
"147",2022-04-11,-0.409381548714371
"148",2022-04-12,-1.02717999733599
"149",2022-04-13,0.491065772636112
"150",2022-04-18,-0.0608050696259355
