"","X","Date","MXX","NAFTRACISHRS.MX","DIABLOI10.MX","ALFAA.MX","AC.MX","ASURB.MX","BIMBOA.MX","BOLSAA.MX","CEMEXCPO.MX","FEMSAUBD.MX","CHDRAUIB.MX","GFNORTEO.MX","GMEXICOB.MX","PINFRA.MX","WALMEX.MX","DJI","IXIC","AAPL","AMZN","AZO","BAC","DELL","GM","GOOGL","MSFT","TSLA","QQQ","IDU","WM","SPGSCI","GLD","DBA","DBE","GSG"
"1",1,"2016-08-26",-0.0193989446786436,-0.0177550450598458,0.019355501260566,-0.0234003186115435,-0.0147698978429718,-0.0327888320549565,-0.033364037927754,-0.0078296793227981,-0.0153357646040142,-0.0484985031260994,-0.0360628680368773,-0.00283850498282945,-0.0379123901739464,-0.0574883925080458,-0.0154756093571753,0.0117749538073486,0.0165608410985971,-0.0020946797134922,0.035600911423483,-0.0319857353040334,0.0570489284511613,0.0707133733049456,0.0108129282823883,0.0122091301002847,0.0273729913357963,-0.00223564647238383,0.0161807415746491,-0.000442940938437886,0.00477123772281463,0.000186818408211664,0.00516544684429388,0.00433655645212916,0.0066002430225458,-0.00241521017465995
"2",2,"2016-09-02",0.00879427071492422,0.00776744113225147,-0.00882481531358881,0.00557465069631569,0.0113937509888382,0.0231979305802312,0.0282751027468251,0.0213143830119185,0.00769724770368452,0.00569302398626537,-0.0277027811134989,0.027569509569056,0.00559484733996474,0.0187144282448317,0.003717315649999,0.00475007579015241,0.00543317789534647,0.00687464425154882,0.00397802583418816,-0.0188892991791647,0.0173698806193476,-0.0629421300699287,0.0192985690479626,0.00410556945433971,-0.00670860242152038,-0.10691218341304,0.00242187359041601,0.00827663254682598,0.00543754667363405,-0.045237680307574,0.00363147120963347,-0.0117518358451152,-0.063188623103354,-0.0446609608652446
"3",3,"2016-09-09",-0.0282004140205103,-0.0275615579246797,0.0270286846834784,-0.0485776331921448,-0.011992348865447,-0.0355856304098916,-0.0250936184541484,-0.0365683194611135,-0.0558436751317157,-0.0195372224965729,-0.0254905482264158,-0.0182949267294914,-0.037608038929676,-0.0524589794401784,-0.0414308264768666,-0.00532771409914545,-0.00700023425259388,-0.0267370625281957,0.000848922746429892,-0.00675017818735313,0.000517262910947558,0.149617357664176,-0.0248511398137747,0.00631614089122579,-0.0087417172891211,2.33394882922511e-05,-0.00764660028148523,-0.00523275696667991,-0.00191588323501701,0.0385269800987782,0.0183218053066074,0.0188693165383134,0.0483257976845,0.0371598355104945
"4",4,"2016-09-23",0.0396112142426706,0.0386429832154067,-0.0377997402240173,0.0265682234822666,-0.00172586172315192,0.0189522080813163,0.0444856679913537,-0.089455416954765,0.048822840121046,0.0820656064898584,0.0217884218800029,0.0257383233784649,0.0770989163245437,-0.0121023077315838,0.0241315057244429,0.0162613297887599,0.0202930427751991,-0.0107227262274519,0.0430739619294362,0.0213001912076471,0.0106300187403976,-0.000840373761677782,0.0451549842842995,0.0297632243814059,0.0118339721203382,0.0186262188266326,0.0175228597922539,0.0424269099991017,0.0174135282017405,0.0185003670628667,0.029193679795295,0.0155578714136615,0.0121285405806999,0.017110315817618
"5",5,"2016-09-30",-0.0112115610928267,-0.0113734284978841,0.00878948190318907,0.0169975723678664,-0.00354739457482278,0.00691873450592162,-0.0466356315545089,-0.00323188118642115,0.00260750821305233,-0.0194460998890502,-0.0180058895243147,-0.0139660069283556,0.021763360769318,-0.0183356834984698,-0.0144559730622862,-0.0185450460649665,-0.0199218714820013,-0.0180868782063728,0.0173217774777443,0.00995040989619866,-0.0127579962392952,-0.0254829067230649,-0.0320553683047358,-0.0345644176404791,-0.018143312229153,-0.0377224275412118,-0.0178085043045977,-0.0582953148666441,-0.0148058877858288,0.0150500487188943,-0.0369706313511227,-0.0453276744283606,0.0371536362114231,0.0132213135319201
"6",6,"2016-10-07",0.00739758530690615,0.0071760589389922,-0.00718567206255116,-0.0029786255784563,0.022540084657666,0.0262812899928226,0.01089712964585,-0.00226875039207908,0.0161450431891055,0.0041870928400547,0.0306716049206295,0.0445288186697894,-0.00295915981926953,0.0332779830278973,-0.0223233341898226,-0.00771281181613759,-0.00770693719235283,0.00488386398309171,-0.0014816420459125,-0.0144769772369848,0.0261997088848567,0.00162237467245774,0.0137720284163585,-0.00818533185328718,-0.000543796989878054,-0.0410553353237937,-0.00611841201497398,-0.0436193859855223,-0.0274961900337241,0.0159283819039295,-0.0521082979080463,-0.000513174688539841,0.0317219191788469,0.0140443478636589
"7",7,"2016-10-14",0.00220041643443913,0.00189131351187077,-0.00321027268171292,0.0242317235555176,0.00237012005190085,0.00154087748866694,0.00251272339440378,0.0224583433974095,0.0215471219306536,0.0211670322745592,-0.0349279490664127,0.00712356288621852,0.00590970642571387,-0.00461332382640478,-0.007956774535963,-0.0207130805798332,-0.0299931811996714,0.015719839799587,-0.0349149337146999,-0.0109389041277019,-0.0231914686197756,-0.0325168956950082,-0.0297391084331515,-0.010253078224248,-0.0216958020938174,-0.0156081157279591,-0.0263895334165722,-0.00102341629307467,-0.0215426230462672,-0.00487773727780194,-0.0182779681732912,-0.00863634726581708,-0.00269621998860359,-0.0091528929059681
"8",8,"2016-10-21",0.0149180951193202,0.0147930418493325,-0.0145751044027298,-0.0562262964578104,-0.00389666201627126,0.0303929970348484,-0.00270612657639058,-0.0105246617471533,0.0596283119561454,-0.000436335493676054,-0.0109602959748867,0.0515126409765179,0.00587486998180253,-0.00891395786472504,0.00579267032026332,-0.0218216576496637,-0.0139671380036486,-0.0310203793665398,-0.0270613645690441,-0.0441135458501307,0.0187961632534446,-0.0222256957755604,-0.0169057959723924,0.00167238141299997,0.0160436649854212,-0.00417183290898215,-0.0136403838640122,-0.0178000104791494,-0.0169068788012048,-0.0218264626065956,-0.00998522315135553,-0.0172824939694403,-0.0160811632114086,-0.0209090725429668
"9",9,"2016-10-28",-0.00852889111112276,-0.00747348274620219,0.0089322279758508,-0.0137837908954674,-0.0135010500731116,0.00529628820833317,-0.00465672105658133,-0.00901779234924271,-0.0299782710119265,-0.00788412476865119,0.00287085681436272,-0.0105226390139714,-0.0305887773575648,-0.00335144430724732,-0.0452940782696349,0.0211498968081116,0.00741364230005814,-0.00471271931083272,-0.0332097959829412,0.00463263046486873,0.0208970720988013,0.0542201124726702,-0.0024310005883379,0.0148216753041241,0.0238108714016008,0.0196973814898334,0.0113704761217575,0.0299169393455117,0.0483519455309134,0.00482344423712888,0.0264851312489913,0.0374083270785288,-0.0139740838270486,0.00438180785349118
"10",10,"2016-11-04",-0.027717989905911,-0.0270340344046613,0.0318245287383423,-0.0338776052801086,-0.031371404002968,-0.048775258661518,-0.0346260398285128,-0.0689697999264056,-0.0372020284522718,-0.0490894245204707,-0.0437028211351689,-0.0198277453567783,0.0194388162365815,-0.0504749235869619,0.00627590587582993,-0.0127801905019602,-0.0257228189207606,-0.0363782839677418,-0.0254199506641628,-0.00271050781161719,-0.00546350139697171,-0.00276784435062805,-0.00276076146282822,-0.0457034803379637,-0.0172045193408019,-0.0458392309329385,-0.0275437223409618,-0.0105135404914014,-0.00721905804623901,-0.0558106585474452,0.0252102574849786,-0.00787050447530024,-0.0639752757415888,-0.0561352650124833
