"","X","Date","MXX","NAFTRACISHRS.MX","DIABLOI10.MX","ALFAA.MX","AC.MX","ASURB.MX","BIMBOA.MX","BOLSAA.MX","CEMEXCPO.MX","FEMSAUBD.MX","CHDRAUIB.MX","GFNORTEO.MX","GMEXICOB.MX","PINFRA.MX","WALMEX.MX","DJI","IXIC","AAPL","AMZN","AZO","BAC","DELL","GM","GOOGL","MSFT","TSLA","QQQ","IDU","WM","SPGSCI","GLD","DBA","DBE","GSG"
"1",1,"2016-08-18",0.00368519936833422,0.00310381168694152,-0.00407666208935664,0.0188596175038751,-0.0100445023507563,0.0137162839655698,0.00866441312647304,0.0409414683193372,-0.00634113801109182,0.0197489125652526,0.00408814233359012,0.0137881014383749,-0.0210362074876431,0.0284790857736201,0.00982752731553038,0.00363804522293343,0.00455470791383839,0.00107672295831041,0.00213733152997886,0.00502694444349139,0.00301939323081157,-0.00347116686204085,-0.00710407336975383,-0.000960809462513978,0.00305463593860544,0.00356843397268403,0.00261542274654403,0.014584132038225,-0.00515979707105529,0.017825087425388,0.00709551823390164,0.00906795428946072,0.0176641318593438,0.014971817535101
"2",2,"2016-08-19",-0.00288709057831227,-0.00206834232621222,0.00326264258929587,-0.01435208296909,-0.00159965217863789,-0.00872825004667277,-0.00866441312647304,-0.00805537654359867,0.00317559525103439,-0.0103250986291341,0.0182983676535549,-0.00815506060010129,0.0062331408018621,0.00740606831960111,-0.00776264656550074,-0.00242953437580518,-0.000337837384513762,0.00256385939767423,-0.00939697313092669,0.00700271973973621,0.00395024206309813,0.0173915598242163,0.00883552349155092,-0.00386930065768176,0.00034701151458183,0.00664421126391623,-0.000255759091372099,-0.0115857111390403,0.000769902898675845,-0.000890399746014126,-0.00886888792552032,-0.00382772638262985,0,-0.000659863373203784
"3",3,"2016-08-22",-8.28235184968662e-05,0,0,0.00256662158983545,-0.00549178926781302,0.00172461796952739,0.010818647176071,-0.00318252759385018,0,-0.00378108667108545,-0.0234652104075193,0.00815506060010129,0.00392817138719526,-0.0136271708605777,-0.00298432206688615,0.0157161630938383,0.0181514954677482,0.00916191879029871,0.0198260138177195,0.0128878950665197,0.0143329081062245,0.020407127105539,0.0182207298958907,0.0135825808762755,0.0178320278688453,0.00772221881917279,0.0177319878903157,0.0200728336762213,0.02524195044436,0.000525422615492488,0.0154789235043609,0.0222240869317769,-0.00648958957089452,-0.000345868150859907
"4",4,"2016-08-23",-0.0130774019443152,-0.013548672590995,0.0129451526058073,-0.0151739246976197,-0.0195061644402648,-0.0220005304658066,-0.0180967061848913,-0.00319244085060832,-0.0127634048897924,-0.0123882892931491,0.00902446364178111,-0.0268954265781502,-0.0253608142871156,-0.0345265111917454,-0.00784664198447071,-0.00233070944319813,-0.000347986307563275,-0.000166868501525919,0.000607763258792637,-0.00556168393094936,0.00784148379209615,0.0271641678068173,-0.00235428791745562,-0.0037470727975899,0.00051226911924207,0.00523593146930335,-0.00150753407898918,-0.0073614064079015,-0.00681226545672864,0.00389619415399522,-0.00345174746035859,-0.00234178928488937,0.00809624693232802,0.00339818462561681
"5",5,"2016-08-24",0.00162645765933433,0.00272442406362128,-0.00160897093162404,-0.00521836235941331,0.0187433788960361,0.008358437327189,0.00782181854146291,0.00521901395907642,-0.0129284177896811,0.00607303938578507,-0.0161728025738772,0.00888548774532083,-0.0121730438175791,-0.00177130241534051,0.0135775226043813,-0.00931309289272164,-0.0138494864493079,-0.0133198142520232,-0.0126015386488367,-0.0207774517211909,-0.00250602744707429,0.00748711873190633,-0.0095269265607909,-0.00951849143421146,-0.00472180675943612,-0.015680740074723,-0.0122435650416133,-0.00559835408164577,-0.00560473941416628,-0.0208842503650679,-0.0169348639647851,-0.017740121987484,-0.0171494892208468,-0.018514103009764
"6",6,"2016-08-25",-0.000197117139974168,-0.000418762021228591,0,-0.00360369454059484,0.00482120547593468,-0.00257225404529304,-0.00308491301560609,-0.00550978688929904,-0.0350913008900351,-0.0132056740930153,-0.00961133719558394,0.000384530709814257,0.00834489061692834,-0.000399001466716342,0.00456117436963011,0.0105801348354717,0.0113184184044872,0.00810394944883885,0.0149692355278885,0.00712005484851019,0.0207775809144408,0.0081956561137071,0.00479037593572684,0.00946863278486898,0.016160189230404,0.00488654761595342,0.0107428855920659,0.0119714576622689,0.0111449177498191,0.0168697339361401,0.0115001232790108,0.00850650336917003,0.0229532921104045,0.0170896725232748
"7",7,"2016-08-26",-0.00766805973519169,-0.00651194809787681,0.00801931958638269,-0.00197116438208322,-0.0133364447147457,-0.0182988413289236,-0.0308228844447904,-0.00116393794811698,0.0454473589654945,-0.0251968057460212,0.00416166065865742,0.00663217150608375,-0.012651598559231,-0.00716440657366579,-0.0227832387437035,-0.0028775417860416,0.00128839998323294,-0.00587409552301832,0.012799437467919,-0.0256545495669229,0.0166028379563556,0.00745946623904636,-0.000316963753453692,0.00242348067094156,-0.00240946896709016,-0.00439960430209041,0.00145682892449095,-0.0195273943523242,-0.0191985571240414,-0.000220281932348243,-0.00142698851393419,-0.0063123214336791,-0.000810133554913328,-0.00404309616292764
"8",8,"2016-08-29",0.00483425063356258,0.00441621689055527,-0.00480388581368363,0.00786131302838289,0.00630823109072498,0.005371598647959,-0.00639341620713241,-0.00320733500553994,0.00769731274316499,0.00794974359241785,-0.00218814059052219,0.00164847563258164,0.00194033825281403,0.00946752562798547,0.00995944562200402,0.0168679124085287,0.0136024452141328,0.00991361472692898,0.0140096335856583,0.00755291510989764,0.0141979277948261,0.0229863266289074,0.0198775329642427,0.0143086766043723,0.0122414918872487,-0.0109780303370623,0.0124054758697163,0.0188283426036042,0.0172697042752334,0.000152865778392908,0.0130175893643756,0.00370305417127437,0.00289950264888272,0.00358103788627062
"9",9,"2016-08-30",0.00108030216148869,0.0014676598703165,-0.000802908830214388,-0.000652788724273989,-0.00417238053392754,0.00996918104007083,0.000377160587397007,0.00843400903832237,-0.0038412503119325,0.000520108215193993,0.00218814059052219,-0.00291092373995561,0.0113505423707729,-0.0025249694354148,-0.00647367795617271,-0.00265083849482295,-0.00180255395204831,-0.00772185132651515,-0.0048375917213157,-0.0120612724147602,0.0218394514761204,-0.025167531368349,-0.00442685777661289,-0.00492850734247074,-0.00363701129634286,-0.0181156473103741,-0.00327085859715215,-0.00992916541551647,-0.00499982163831447,-0.00958435061629004,-0.0101222879536662,-0.00198050463458799,-0.0106938085942678,-0.00821269263987734
"10",10,"2016-08-31",-0.00229536459985802,0,0.00240671867085229,-0.00130678798341544,-8.56248482303812e-05,-0.0124072404244968,0.00863708771799043,0,-0.00128370271701073,-0.00509657551400444,-0.00767962328431793,-0.0165599834391692,0.00212700398991483,0.00177257232962447,-0.00441731235357778,-0.00564350761546528,-0.00461692730393004,-0.0018018012432135,-0.000688331537094022,-0.00282547365484298,-0.00119462295480588,-0.0132089383896226,0.00511832970192216,-0.00536192919752931,-0.010200013750743,0.00042067749095942,-0.00377485491380281,-5.35007324060643e-05,-0.00446333213303074,-0.0240827823340037,-0.00474611772382882,-0.00816745837993427,-0.0312220758457764,-0.0263404273170638
